Trend Age;Trend Temperature;Trend Temperature (long)
57.7;10.47;10.55
57.8;10.27;10.46
57.9;10.06;10.38
58.0;9.87;10.30
58.1;9.72;10.23
58.2;9.62;10.16
58.3;9.56;10.10
58.4;9.50;10.05
58.5;9.41;10.01
58.6;9.28;9.98
58.7;9.16;9.95
58.8;9.10;9.93
58.9;9.12;9.92
59.0;9.21;9.91
59.1;9.35;9.90
59.2;9.54;9.91
59.3;9.78;9.91
59.4;10.02;9.92
59.5;10.25;9.94
59.6;10.43;9.96
59.7;10.56;9.99
59.8;10.64;10.02
59.9;10.67;10.05
60.0;10.63;10.08
60.1;10.52;10.12
60.2;10.40;10.16
60.3;10.29;10.19
60.4;10.20;10.22
60.5;10.11;10.25
60.6;10.04;10.28
60.7;9.98;10.31
60.8;9.96;10.33
60.9;10.00;10.35
61.0;10.10;10.37
61.1;10.24;10.39
61.2;10.40;10.41
61.3;10.53;10.43
61.4;10.59;10.46
61.5;10.58;10.50
61.6;10.53;10.53
61.7;10.49;10.58
61.8;10.46;10.62
61.9;10.45;10.67
62.0;10.42;10.72
62.1;10.39;10.77
62.2;10.38;10.83
62.3;10.44;10.89
62.4;10.60;10.94
62.5;10.85;11.00
62.6;11.10;11.05
62.7;11.29;11.09
62.8;11.47;11.14
62.9;11.58;11.18
63.0;11.65;11.21
63.1;11.72;11.24
63.2;11.78;11.26
63.3;11.76;11.27
63.4;11.64;11.28
63.5;11.48;11.29
63.6;11.37;11.28
63.7;11.42;11.27
63.8;11.61;11.24
63.9;11.88;11.21
64.0;12.11;11.16
64.1;12.11;11.11
64.2;11.83;11.04
64.3;11.39;10.95
64.4;10.95;10.86
64.5;10.69;10.76
64.6;10.62;10.66
64.7;10.65;10.55
64.8;10.67;10.44
64.9;10.65;10.33
65.0;10.50;10.22
65.1;10.24;10.12
65.2;10.02;10.02
65.3;9.87;9.94
65.4;9.88;9.85
65.5;9.74;9.78
65.6;9.38;9.72
65.7;8.98;9.66
65.8;8.58;9.61
65.9;8.19;9.57
66.0;7.92;9.54
66.1;7.83;9.52
66.2;7.99;9.50
66.3;8.51;9.48
66.4;9.10;9.47
66.5;9.57;9.46
66.6;9.82;9.45
66.7;9.83;9.44
66.8;9.75;9.44
66.9;9.76;9.43
67.0;9.89;9.41
67.1;10.06;9.40
67.2;10.21;9.39
67.3;10.28;9.37
67.4;10.28;9.35
67.5;10.25;9.32
67.6;10.22;9.29
67.7;10.14;9.26
67.8;9.98;9.23
67.9;9.78;9.19
68.0;9.52;9.14
68.1;9.23;9.09
68.2;8.93;9.03
68.3;8.64;8.97
68.4;8.37;8.91
68.5;8.15;8.85
68.6;7.98;8.79
68.7;7.85;8.74
68.8;7.73;8.69
68.9;7.66;8.64
69.0;7.68;8.61
69.1;7.81;8.58
69.2;8.07;8.56
69.3;8.40;8.56
69.4;8.69;8.56
69.5;8.85;8.58
69.6;8.82;8.61
69.7;8.61;8.65
69.8;8.33;8.71
69.9;8.12;8.77
70.0;8.07;8.83
70.1;8.20;8.91
70.2;8.49;8.99
70.3;8.86;9.07
70.4;9.24;9.15
70.5;9.50;9.24
70.6;9.66;9.32
70.7;9.71;9.40
70.8;9.70;9.48
70.9;9.69;9.56
71.0;9.78;9.64
71.1;9.87;9.72
71.2;9.99;9.79
71.3;10.12;9.87
71.4;10.23;9.94
71.5;10.31;10.00
71.6;10.37;10.07
71.7;10.37;10.13
71.8;10.34;10.19
71.9;10.31;10.24
72.0;10.30;10.28
72.1;10.32;10.33
72.2;10.39;10.36
72.3;10.49;10.40
72.4;10.56;10.43
72.5;10.61;10.46
72.6;10.65;10.49
72.7;10.65;10.52
72.8;10.61;10.55
72.9;10.57;10.57
73.0;10.54;10.60
73.1;10.52;10.62
73.2;10.51;10.64
73.3;10.54;10.65
73.4;10.58;10.67
73.5;10.63;10.68
73.6;10.69;10.68
73.7;10.74;10.69
73.8;10.78;10.69
73.9;10.83;10.69
74.0;10.91;10.70
74.1;10.96;10.70
74.2;10.98;10.71
74.3;10.97;10.72
74.4;10.94;10.74
74.5;10.89;10.76
74.6;10.84;10.79
74.7;10.80;10.82
74.8;10.76;10.86
74.9;10.69;10.90
75.0;10.58;10.95
75.1;10.43;11.01
75.2;10.33;11.07
75.3;10.26;11.13
75.4;10.26;11.18
75.5;10.34;11.23
75.6;10.51;11.28
75.7;10.79;11.32
75.8;11.15;11.37
75.9;11.55;11.42
76.0;11.92;11.47
76.1;12.19;11.52
76.2;12.35;11.57
76.3;12.41;11.62
76.4;12.40;11.68
76.5;12.35;11.73
76.6;12.27;11.79
76.7;12.18;11.85
76.8;12.05;11.90
76.9;11.92;11.96
77.0;11.76;12.02
77.1;11.56;12.08
77.2;11.36;12.14
77.3;;
77.4;;12.26
77.5;;12.31
77.6;;12.37
77.7;;12.43
77.8;;12.49
77.9;;12.55
78.0;;12.61
78.1;;12.67
78.2;;12.72
78.3;;12.78
78.4;;12.84
78.5;;12.92
78.6;;13.01
78.7;;13.09
78.8;;13.18
78.9;;13.28
79.0;;13.39
79.1;;13.51
79.2;;13.62
79.3;;13.73
79.4;;13.83
79.5;;13.92
79.6;;13.99
79.7;;14.06
79.8;;14.12
79.9;;14.17
80.0;;14.22
80.1;;14.26
80.2;;14.31
80.3;;14.35
80.4;;14.38
80.5;;14.42
80.6;;14.46
80.7;;14.50
80.8;;14.52
80.9;;14.55
81.0;;14.58
81.1;;14.62
81.2;;14.66
81.3;;14.72
81.4;;14.78
81.5;;14.85
81.6;;14.92
81.7;;15.00
81.8;;15.09
81.9;;15.20
82.0;;15.34
82.1;;15.51
82.2;;15.72
82.3;;15.98
82.4;;16.30
82.5;;16.64
82.6;;16.98
82.7;;17.07
82.8;;17.16
82.9;;17.23
83.0;;17.29
83.1;;17.32
83.2;;17.35
83.3;;17.35
83.4;;17.35
83.5;;17.34
83.6;;17.33
83.7;;17.31
83.8;;17.33
83.9;;17.32
84.0;;
84.1;17.68;17.26
84.2;17.62;17.22
84.3;17.55;17.17
84.4;17.46;17.12
84.5;17.37;17.07
84.6;17.27;17.01
