AZ_order,Filename,Tip_Label,Final_name,Superorder,Order,Order_colour,Family,Collection,Specimen,Scan Location,Status,Geologic Age,Habitat,Locomotion,Diet,Social,Activity,Development
53,Cebus_apella,Sapajus_apella,Sapajus_apella,Euarchontaglires,Primates,#006D2C,Cebidae,NHMUK ZD,1925.2.1.1,Phenome10K,Extant,Recent,Closed,Arboreal,Omnivore,Social,Diurnal,Altricial
54,Centurio_senex,Centurio_senex,Centurio_senex,Laurasiatheria,Chiroptera,#FF00FF,Phyllostomidae,AMNH,M-249109,Morphosource,Extant,Recent,Closed,Volant,Herbivore,Social,Nocturnal,Altricial
55,Cephalophus_nigrifrons,Cephalophus_nigrifrons,Cephalophus_nigrifrons,Laurasiatheria,Artiodactyla,#6699FF,Bovidae,NHMUK ZD,1934.4.1.205,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Solitary,All,Precocial
56,Cephalorhynchus_commersoni,Cephalorhynchus_commersonii,Cephalorhynchus_commersonii,Laurasiatheria,Cetacea,#0000CC,Delphinidae,USNM,550156,Phenome10K,Extant,Recent,Aquatic,Aquatic,Piscivore,Social,All,Precocial
57,Ceratogaulus_hatcheri,Ceratogaulus_hatcheri,Ceratogaulus_hatcheri,Euarchontaglires,Rodentia,#A1D99B,Mylagaulidae,FMNH,P14914,Morphosource,Extinct,Miocene,,Terrestrial,Herbivore,,,
58,Cervus_elaphus,Cervus_elaphus,Cervus_elaphus,Laurasiatheria,Artiodactyla,#6699FF,Cervidae,NHMUK ZD,2005.16,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Social,Diurnal,Precocial
59,Cheirogaleus_medius,Cheirogaleus_medius,Cheirogaleus_medius,Euarchontaglires,Primates,#006D2C,Cheirogaleidae,MNHN-ZO-AC,1986-430,,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Nocturnal,Altricial
60,Chironax_melanocephalus,Chironax_melanocephalus,Chironax_melanocephalus,Laurasiatheria,Chiroptera,#FF00FF,Pteropodidae,AMNH,M-266200,Morphosource,Extant,Recent,Closed,Volant,Herbivore,Social,Nocturnal,Altricial
61,Choloepus_hoffmanni,Choloepus_hoffmanni,Choloepus_hoffmanni,Xenarthra,Pilosa,#999999,Megalonychidae,AMNH,M-30765,Digimorph,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Nocturnal,Precocial
62,Chrotopterus_auritus,Chrotopterus_auritus,Chrotopterus_auritus,Laurasiatheria,Chiroptera,#FF00FF,Phyllostomidae,AMNH,M-278292,Morphosource,Extant,Recent,Closed,Volant,Carnivore,Social,Nocturnal,Altricial
63,Chrysophylax_trevelyan,Chrysospalax_trevelyani,Chrysospalax trevelyani,Afrotheria,Afrosoricida,#FEE8C8,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Closed,Fossorial,Invertivore,Solitary,Nocturnal,Altricial
64,Cistugo_lesueuri,Cistugo_lesueuri,Cistugo_lesueuri,Laurasiatheria,Chiroptera,#FF00FF,Cistugidae,AMNH,M-244302,Morphosource,Extant,Recent,Open,Volant,Invertivore,Social,Nocturnal,Altricial
65,Coelodonta_antiquitatus,Coelodonta_antiquitatus,Coelodonta_antiquitatus,Laurasiatheria,Perissodactyla,#669999,Rhinocerotidae,FMNH,P14783,Morphosource,Extinct,Pliocene,,Terrestrial,Herbivore,,,
66,Colobus_guereza,Colobus_guereza,Colobus_guereza,Euarchontaglires,Primates,#006D2C,Cercopithecidae,NHMUK ZD,1928.11.11.2,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
67,Coronodon_havensteini,Coronodon_havensteini,Coronodon_havensteini,Laurasiatheria,Cetacea,#0000CC,Aetiocetidae,CCNHM,108,Phenome10K,Extinct,Oligocene,Aquatic,Aquatic,Carnivore,,,
68,Coryphodon_anthracoides,Coryphodon_hamatus,Coryphodon_anthracoides,Laurasiatheria,Amblypoda,#33FFFF,Coryphodontidae,YPM,VPPU.011330,Phenome10K,Extinct,Eocene,,Terrestrial,Herbivore,,,
69,Cotylocara_macei,Cotylocara_macei,Cotylocara_macei,Laurasiatheria,Cetacea,#0000CC,Xenorophidae,CCNHM,101,Phenome10K,Extinct,Oligocene,Aquatic,Aquatic,Carnivore,,,
70,Craseonycteris_thonglongyai,Craseonycteris_thonglongyai,Craseonycteris_thonglongyai,Laurasiatheria,Chiroptera,#FF00FF,Craseonycteridae,USNM,M-528306,Morphosource,Extant,Recent,Closed,Volant,Invertivore,Social,Nocturnal,Altricial
71,Cricetomys_gambianus,Cricetomys_gambianus,Cricetomys_gambianus,Euarchontaglires,Rodentia,#A1D99B,Nesomyidae,NHMUK ZD,1934.4.1.158,Phenome10K,Extant,Recent,Mixed_terrestrial,Terrestrial,Herbivore,Social,Nocturnal,Altricial
72,Cricetus_cricetus,Cricetus_cricetus,Cricetus_cricetus,Euarchontaglires,Rodentia,#A1D99B,Cricetidae,NHMUK ZD,1919.7.7.2605,Phenome10K,Extant,Recent,Open,Fossorial,Herbivore,Solitary,Crepuscular,Altricial
73,Cryptomys_mechowi,Fukomys_mechowi,Cryptomys_mechowi,Euarchontaglires,Rodentia,#A1D99B,Bathyergidae,NHMUK ZD,1935.1.6.176,Phenome10K,Extant,Recent,Open,Fossorial,Herbivore,Social,All,Altricial
74,Ctenomys_knighti,Ctenomys_knighti,Ctenomys_knighti,Euarchontaglires,Rodentia,#A1D99B,Ctenomyidae,NHMUK ZD,1925.3.1.65,Phenome10K,Extant,Recent,Open,Fossorial,Herbivore,Solitary,All,Altricial
75,Cuniculus_paca,Cuniculus_paca,Cuniculus_paca,Euarchontaglires,Rodentia,#A1D99B,Cuniculidae,NHMUK ZD,1904.12.4.13,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Social,Nocturnal,Precocial
76,Cyclopes_didactylus,Cyclopes_didactylus,Cyclopes_didactylus,Xenarthra,Pilosa,#999999,Cyclopedidae,NHMUK ZD,1903.12.6.10,Phenome10K,Extant,Recent,Closed,Arboreal,Social insectivore,Solitary,Nocturnal,Precocial
77,Cynocephalus_volans,Cynocephalus_volans,Cynocephalus_volans,Euarchontaglires,Dermoptera,#74C476,Cynocephalidae,LDUCZ,z.890,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Crepuscular,Altricial
78,Cynomys_ludovicianis,Cynomys_ludovicianus,Cynomys_ludovicianus,Euarchontaglires,Rodentia,#A1D99B,Sciuridae,UM,96071,Digimorph,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Altricial
79,Dacrytherium_sp,Dacrytherium_sp,Dacrytherium_sp,Laurasiatheria,Artiodactyla,#6699FF,Anoplotheriidae,MNHN.F,QU17146,Phenome10K,Extinct,Eocene,,Terrestrial,Herbivore,,,
80,Daphaenus_vetus,Daphoenus_vetus,Daphaenus_vetus,Laurasiatheria,Carnivora,#33CCFF,Amphicyonidae,YPM,VPPU.012648,Phenome10K,Extinct,Eocene,,Terrestrial,Carnivore,,,
81,Dasyprocta_mexicana,Dasyprocta_mexicana,Dasyprocta_mexicana,Euarchontaglires,Rodentia,#A1D99B,Dasyproctidae,UMN,14040,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Solitary,Diurnal,Precocial
82,Dasypus_novemictus,Dasypus_novemcinctus,Dasypus_novemcinctus,Xenarthra,Cingulata,#666666,Dasypodidae,LDUCZ,z.134,Phenome10K,Extant,Recent,Mixed_terrestrial,Semi-fossorial,Invertivore,Solitary,Nocturnal,Precocial
83,Daubentonia_madagascariensis,Daubentonia_madagascariensis,Daubentonia_madagascariensis,Euarchontaglires,Primates,#006D2C,Daubentoniidae,NHMUK ZD,1888.2.18.2/GERM 1359d,Phenome10K,Extant,Recent,Closed,Arboreal,Omnivore,Solitary,Nocturnal,Altricial
84,Delphinapterus_leucas,Delphinapterus_leucas,Delphinapterus_leucas,Laurasiatheria,Cetacea,#0000CC,Monodontidae,USNM,305071,Phenome10K,Extant,Recent,Aquatic,Aquatic,Piscivore,Social,All,Precocial
